time_s,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
1.968000000,-0.183578211,0.464628573,-1.971563769,3.195672090,1.491194803,-0.000140633
1.970000000,-0.183083411,0.463921227,-1.971600101,3.196353652,1.491134901,-0.000091541
1.972000000,-0.182589848,0.463217054,-1.971628552,3.197043949,1.491075318,-0.000060129
1.974000000,-0.182097795,0.462516312,-1.971649723,3.197741972,1.491015872,-0.000040034
1.976000000,-0.181607523,0.461819263,-1.971664240,3.198445986,1.490956435,-0.000027185
1.978000000,-0.181119304,0.461126178,-1.971672751,3.199153706,1.490896970,-0.000018976
1.980000000,-0.180633411,0.460437343,-1.971675923,3.199862478,1.490837526,-0.000013737
1.982000000,-0.180150116,0.459753068,-1.971674435,3.200569485,1.490778222,-0.000010397
1.984000000,-0.179669691,0.459073682,-1.971668977,3.201271925,1.490719207,-0.000008266
1.986000000,-0.179192410,0.458399538,-1.971660240,3.201967178,1.490660633,-0.000006902
1.988000000,-0.178718547,0.457731008,-1.971648912,3.202652940,1.490602634,-0.000006021
1.990000000,-0.178248376,0.457068486,-1.971635672,3.203327319,1.490545311,-0.000005446
1.992000000,-0.177782168,0.456412375,-1.971621179,3.203988895,1.490488735,-0.000005064
1.994000000,-0.177319967,0.455763000,-1.971605790,3.204635911,1.490433397,-0.000004808
1.996000000,-0.176861404,0.455120000,-1.971589464,3.205265568,1.490380477,-0.000004634
1.998000000,-0.176406709,0.454482587,-1.971572417,3.205882415,1.490329574,-0.005719879
2.000000000,-0.175954619,0.453851243,-1.971554826,3.206470772,1.490281778,-0.003662241
2.002000000,-0.175505483,0.453223838,-1.971536596,3.207044642,1.490237961,-0.002345352
2.004000000,-0.175059410,0.452601795,-1.971518300,3.207604773,1.490192180,-0.001502545
2.006000000,-0.174616444,0.451985095,-1.971500224,3.208153185,1.490144271,-0.000963149
2.008000000,-0.174176422,0.451373302,-1.971482510,3.208692905,1.490095476,-0.000617936
2.010000000,-0.173739260,0.450766312,-1.971465319,3.209226957,1.490046361,-0.000397000
